date,food_demand_kg,water_demand_liters,medicine_demand_units,shelter_demand_units
2024-06-28,2719,12877,975,373
2024-06-29,5229,9837,426,347
2024-06-30,1851,19044,627,323
2024-07-01,3970,7867,788,153
2024-07-02,3354,17055,495,184
2024-07-03,1137,12526,993,65
2024-07-04,2266,4316,123,372
2024-07-05,2967,14796,644,128
2024-07-06,3497,14684,421,350
2024-07-07,2770,11373,272,332
2024-07-08,8192,19280,300,322
2024-07-09,1616,15140,614,466
2024-07-10,7899,10492,409,468
2024-07-11,3688,18706,881,251
2024-07-12,7346,11754,146,155
2024-07-13,3242,3054,855,216
2024-07-14,6965,10640,850,219
2024-07-15,3611,10184,201,377
2024-07-16,9428,9409,592,240
2024-07-17,4518,6950,726,260
2024-07-18,6545,13760,340,69
2024-07-19,9240,16461,662,88
2024-07-20,6619,14064,815,357
2024-07-21,5243,13823,397,448
2024-07-22,1894,14783,624,142
2024-07-23,1593,18378,398,148
2024-07-24,9038,12458,217,121
2024-07-25,1828,14914,519,351
2024-07-26,9984,17143,333,461
2024-07-27,9121,6654,184,247
2024-07-28,3934,13723,828,108
2024-07-29,7262,17230,754,135
2024-07-30,3677,5763,293,406
2024-07-31,8831,16442,881,348
2024-08-01,2457,9142,164,415
2024-08-02,8326,2894,866,394
2024-08-03,1063,8554,219,126
2024-08-04,2037,14232,559,294
2024-08-05,3896,6833,553,75
2024-08-06,1480,11570,463,127
2024-08-07,6167,16973,421,181
2024-08-08,6720,19606,518,83
2024-08-09,6423,4934,657,470
2024-08-10,9773,9908,782,166
2024-08-11,8243,15754,212,54
2024-08-12,5306,8741,162,67
2024-08-13,8597,2291,897,177
2024-08-14,6374,6870,401,432
2024-08-15,3406,8100,252,84
2024-08-16,5060,4039,887,116
2024-08-17,4362,6165,436,86
2024-08-18,3182,8939,928,102
2024-08-19,4848,11957,562,329
2024-08-20,5157,12141,447,303
2024-08-21,1114,19376,445,218
2024-08-22,5398,9823,446,114
2024-08-23,3969,10644,260,269
2024-08-24,3122,15999,284,92
2024-08-25,5836,9824,273,137
2024-08-26,7650,8854,702,144
2024-08-27,5909,14210,371,303
2024-08-28,7095,12151,417,482
2024-08-29,8180,2262,581,183
2024-08-30,7167,14401,200,197
2024-08-31,9644,5426,948,422
2024-09-01,8266,19182,591,285
2024-09-02,4797,7313,135,174
2024-09-03,8877,5259,356,181
2024-09-04,9277,10998,684,146
2024-09-05,8957,10018,418,285
2024-09-06,4499,2804,155,149
2024-09-07,3282,18085,874,443
2024-09-08,9118,9533,103,415
2024-09-09,7364,19417,100,195
2024-09-10,1304,2459,247,411
2024-09-11,4361,18713,581,170
2024-09-12,8044,13865,571,399
2024-09-13,9646,16802,531,191
2024-09-14,8256,2064,860,317
2024-09-15,8770,3051,847,264
2024-09-16,9711,17403,151,439
2024-09-17,5226,4954,451,221
2024-09-18,5131,10271,452,231
2024-09-19,7799,14581,432,209
2024-09-20,7739,9272,806,393
2024-09-21,9787,4807,942,140
2024-09-22,5777,14084,525,213
2024-09-23,7487,16103,680,371
2024-09-24,2778,19047,447,355
2024-09-25,8060,9325,622,115
2024-09-26,5737,17647,105,472
2024-09-27,7729,7182,422,224
2024-09-28,7702,9860,359,204
2024-09-29,1366,12692,789,68
2024-09-30,8094,14504,235,54
2024-10-01,7550,4697,894,326
2024-10-02,4367,11540,388,499
2024-10-03,3116,14152,325,76
2024-10-04,5103,6741,653,53
2024-10-05,6711,5380,109,322
2024-10-06,4144,15283,935,498
2024-10-07,9731,11795,425,207
2024-10-08,8048,11835,572,114
2024-10-09,6151,15066,210,252
2024-10-10,2676,19265,629,480
2024-10-11,8929,2100,908,230
2024-10-12,2748,15930,426,382
2024-10-13,5433,6299,334,481
2024-10-14,4581,3546,700,66
2024-10-15,9948,15777,738,346
2024-10-16,7159,18028,768,63
2024-10-17,1646,14954,241,248
2024-10-18,9830,13310,809,164
2024-10-19,4995,15877,610,499
2024-10-20,7581,3174,684,422
2024-10-21,2464,4472,498,364
2024-10-22,3835,13611,207,441
2024-10-23,6338,13818,553,103
2024-10-24,7477,8732,950,110
2024-10-25,1596,12801,760,248
2024-10-26,2960,9630,647,269
2024-10-27,9035,19010,867,344
2024-10-28,9804,19231,710,495
2024-10-29,7480,13791,788,108
2024-10-30,5666,14677,481,314
2024-10-31,1867,4195,156,429
2024-11-01,3966,17724,269,413
2024-11-02,6620,6001,718,385
2024-11-03,8046,10673,695,421
2024-11-04,8616,13987,246,375
2024-11-05,1040,11510,410,152
2024-11-06,8878,6398,854,171
2024-11-07,6863,11284,560,211
2024-11-08,3087,16566,284,118
2024-11-09,8763,13998,174,108
2024-11-10,1296,16318,174,336
2024-11-11,2661,4380,763,401
2024-11-12,2418,17259,791,280
2024-11-13,9979,4072,597,395
2024-11-14,8542,16808,482,381
2024-11-15,7540,12946,766,101
2024-11-16,5020,14278,813,180
2024-11-17,8145,19067,991,70
2024-11-18,4704,15355,680,219
2024-11-19,4637,14705,159,418
2024-11-20,7479,19427,978,234
2024-11-21,4054,12533,121,174
2024-11-22,1103,10075,639,298
2024-11-23,9630,9064,301,281
2024-11-24,8870,17143,555,63
2024-11-25,5737,18802,523,209
2024-11-26,3711,18414,398,268
2024-11-27,5940,14275,895,125
2024-11-28,3211,5262,882,60
2024-11-29,4972,15271,106,484
2024-11-30,8396,12738,641,269
2024-12-01,2643,18209,251,424
2024-12-02,5188,9498,913,423
2024-12-03,7223,8156,306,236
2024-12-04,7407,6412,595,226
2024-12-05,1236,18781,202,63
2024-12-06,4662,19597,847,184
2024-12-07,9538,4188,436,442
2024-12-08,2860,17405,599,362
2024-12-09,7452,6331,805,388
2024-12-10,8142,2986,396,172
2024-12-11,9413,7976,224,57
2024-12-12,2450,16914,255,431
2024-12-13,9573,16593,943,223
2024-12-14,2704,2112,179,355
2024-12-15,1006,13552,239,466
2024-12-16,9852,3116,926,392
2024-12-17,5529,11048,680,158
2024-12-18,1435,10064,962,130
2024-12-19,8477,11174,934,262
2024-12-20,1720,19601,860,456
2024-12-21,4268,16300,419,298
2024-12-22,6743,2914,204,442
2024-12-23,8520,7673,202,335
2024-12-24,7482,19386,853,315
2024-12-25,1269,16025,779,156
2024-12-26,8286,3874,966,272
2024-12-27,8553,13568,786,325
2024-12-28,6943,5457,124,53
2024-12-29,8267,17684,949,359
2024-12-30,7380,10557,362,479
2024-12-31,1424,7523,400,98
